ticket_id,epic,title,owner,suggested_role,component,priority,scope,sprint,story_points,dependencies,references
W12-EP02-T022,EP02,Implement deployment promotion flow (dev → staging → prod) and rollback automation,Infra,Infra/DevOps,Infra,P0,V1,S2_Core_Pipeline,5,W12-EP02-T021,docs/09_Deployment_Operations/Release_and_Rollback.md;docs/09_Deployment_Operations/First_Production_Deploy_Runbook.md
W12-EP03-T030,EP03,"Implement API Gateway + ingress Lambda (fast ACK, validation, enqueue)",Backend,Backend,Middleware,P0,V1,S2_Core_Pipeline,5,W12-EP02-T020;W12-EP01-T013,docs/02_System_Architecture/AWS_Serverless_Reference_Architecture.md;docs/02_System_Architecture/Data_Flow_and_Storage.md;docs/03_Richpanel_Integration/Webhooks_and_Event_Handling.md;docs/06_Security_Privacy_Compliance/Webhook_Auth_and_Request_Validation.md
W12-EP03-T031,EP03,Provision SQS FIFO + DLQ and internal message schema (conversation-ordered processing),Backend/Infra,Infra/DevOps,Middleware,P0,V1,S2_Core_Pipeline,3,W12-EP02-T020,docs/07_Reliability_Scaling/SQS_FIFO_Strategy_and_Limits.md;docs/02_System_Architecture/Sequence_Diagrams.md
W12-EP03-T032,EP03,Create DynamoDB tables for idempotency + minimal conversation state with TTL,Backend/Infra,Infra/DevOps,Middleware,P0,V1,S2_Core_Pipeline,3,W12-EP02-T020,docs/02_System_Architecture/DynamoDB_State_and_Idempotency_Schema.md;docs/06_Security_Privacy_Compliance/Data_Retention_and_Access.md
W12-EP03-T033,EP03,"Implement worker Lambda skeleton (dequeue, fetch context, decision pipeline placeholder, action stub)",Backend,Backend,Middleware,P0,V1,S2_Core_Pipeline,5,W12-EP03-T030;W12-EP03-T031;W12-EP03-T032,docs/02_System_Architecture/Data_Flow_and_Storage.md;docs/04_LLM_Design_Evaluation/Decision_Pipeline_and_Gating.md;docs/03_Richpanel_Integration/Richpanel_API_Contracts_and_Error_Handling.md
W12-EP03-T034,EP03,"Implement runtime feature flags (safe_mode, automation_enabled, per-template toggles) with caching",Backend,Backend,Middleware,P0,V1,S2_Core_Pipeline,3,W12-EP01-T013;W12-EP03-T033,docs/06_Security_Privacy_Compliance/Kill_Switch_and_Safe_Mode.md;docs/07_Reliability_Scaling/Parameter_Defaults_Appendix.md;docs/07_Reliability_Scaling/Tuning_Playbook_and_Degraded_Modes.md
W12-EP03-T035,EP03,Implement observability event logging + correlation IDs (ingress and worker),Backend,Backend,Middleware,P0,V1,S2_Core_Pipeline,3,W12-EP03-T030;W12-EP03-T033,docs/08_Observability_Analytics/Event_Taxonomy_and_Log_Schema.md;docs/08_Observability_Analytics/Tracing_and_Correlation.md
W12-EP03-T036,EP03,Implement vendor retry/backoff utilities and concurrency bounds (prevent rate-limit storms),Backend,Backend,Middleware,P0,V1,S2_Core_Pipeline,5,W12-EP03-T033,docs/07_Reliability_Scaling/Rate_Limiting_and_Backpressure.md;docs/07_Reliability_Scaling/Resilience_Patterns_and_Timeouts.md
W12-EP04-T040,EP04,"Create Richpanel team + tags (Chargebacks/Disputes, mw-routing-applied, feedback tags) and document mapping",Ops (Richpanel Admin),Ops,Richpanel,P0,V1,S0_Preflight,2,W12-EP00-T001,docs/01_Product_Scope_Requirements/Department_Routing_Spec.md;docs/03_Richpanel_Integration/Team_Tag_Mapping_and_Drift.md;docs/08_Observability_Analytics/Feedback_Signals_and_Agent_Override_Macros.md
W12-EP04-T041,EP04,Configure Richpanel automation to trigger middleware on inbound customer messages (avoid loops),Ops (Richpanel Admin) + Backend,Backend,Richpanel,P0,V1,S3_Richpanel_Routing_LLM,3,W12-EP04-T040;W12-EP03-T030,docs/03_Richpanel_Integration/Automation_Rules_and_Config_Inventory.md;docs/03_Richpanel_Integration/Webhooks_and_Event_Handling.md;docs/03_Richpanel_Integration/Idempotency_Retry_Dedup.md
W12-EP04-T042,EP04,"Implement Richpanel API client with retries, pagination, and rate-limit handling",Backend,Backend,Richpanel,P0,V1,S3_Richpanel_Routing_LLM,5,W12-EP03-T036;W12-EP00-T001,docs/03_Richpanel_Integration/Richpanel_API_Contracts_and_Error_Handling.md;docs/07_Reliability_Scaling/Rate_Limiting_and_Backpressure.md
W12-EP04-T043,EP04,Implement action executor (route/tag/assign/reply) with action-level idempotency keys,Backend,Backend,Richpanel,P0,V1,S3_Richpanel_Routing_LLM,8,W12-EP03-T032;W12-EP04-T042,docs/03_Richpanel_Integration/Idempotency_Retry_Dedup.md;docs/04_LLM_Design_Evaluation/Decision_Pipeline_and_Gating.md
W12-EP04-T044,EP04,Build integration test harness for Richpanel actions (staging recommended),QA/Backend,Backend,Richpanel,P0,V1,S3_Richpanel_Routing_LLM,5,W12-EP04-T043,docs/08_Testing_Quality/Integration_Test_Plan.md;docs/08_Testing_Quality/Manual_QA_Checklists.md
W12-EP05-T050,EP05,Implement deterministic order linkage lookup using Richpanel order endpoints,Backend,Backend,OrderData,P0,V1,S4_Automation_Order_Security,5,W12-EP04-T042,docs/05_FAQ_Automation/Order_Status_Automation.md;docs/03_Richpanel_Integration/Richpanel_API_Contracts_and_Error_Handling.md
W12-EP05-T051,EP05,Map order details into template variables and handle common edge cases (multiple fulfillments),Backend,Backend,OrderData,P0,V1,S4_Automation_Order_Security,5,W12-EP05-T050,docs/05_FAQ_Automation/Order_Status_Automation.md;docs/05_FAQ_Automation/templates/templates_v1.yaml
W12-EP05-T052,EP05,Implement Shopify Admin API fallback (only if required and credentials exist),Backend,Backend,OrderData,P2,POST_V1,POST_V1,8,W12-EP00-T001,docs/05_FAQ_Automation/Order_Status_Automation.md;docs/06_Security_Privacy_Compliance/Vendor_Data_Handling_OpenAI_Richpanel_Shopify.md
W12-EP05-T053,EP05,"Define and implement order-status-related routing rules (DNR, missing items, refund requests)",Backend,Backend,OrderData,P0,V1,S4_Automation_Order_Security,3,W12-EP06-T061;W12-EP07-T072,docs/05_FAQ_Automation/Top_FAQs_Playbooks.md;docs/01_Product_Scope_Requirements/Department_Routing_Spec.md
W12-EP06-T060,EP06,Implement classifier model call with strict schema validation (mw_decision_v1) and fail-closed fallback,AI/Backend,Backend,LLM,P0,V1,S3_Richpanel_Routing_LLM,5,W12-EP03-T033;W12-EP00-T001,docs/04_LLM_Design_Evaluation/Prompting_and_Output_Schemas.md;docs/04_LLM_Design_Evaluation/schemas/mw_decision_v1.schema.json;docs/04_LLM_Design_Evaluation/prompts/classification_routing_v1.md
W12-EP06-T061,EP06,"Implement policy engine (Tier 0 overrides, Tier 2 eligibility, Tier 3 disabled) as authoritative layer",AI/Backend,Backend,LLM,P0,V1,S3_Richpanel_Routing_LLM,5,W12-EP06-T060,docs/04_LLM_Design_Evaluation/Decision_Pipeline_and_Gating.md;docs/04_LLM_Design_Evaluation/Multi_Intent_Priority_Matrix.md
W12-EP06-T062,EP06,Implement Tier 2 verifier call (mw_tier2_verifier_v1) and integrate into policy gating,AI/Backend,Backend,LLM,P0,V1,S3_Richpanel_Routing_LLM,5,W12-EP06-T061;W12-EP05-T050,docs/04_LLM_Design_Evaluation/schemas/mw_tier2_verifier_v1.schema.json;docs/04_LLM_Design_Evaluation/prompts/tier2_verifier_v1.md
W12-EP06-T063,EP06,Implement confidence threshold configuration + calibration workflow hooks,AI/Backend,Backend,LLM,P1,V1,S3_Richpanel_Routing_LLM,3,W12-EP06-T061,docs/04_LLM_Design_Evaluation/Confidence_Scoring_and_Thresholds.md;docs/11_Governance_Continuous_Improvement/Taxonomy_Drift_and_Calibration.md
W12-EP06-T064,EP06,Integrate offline eval harness into CI (golden set run + regression gates),AI/QA,Backend,LLM,P1,V1,S5_Test_and_Rollout,5,W12-EP02-T021,docs/04_LLM_Design_Evaluation/Offline_Evaluation_Framework.md;docs/04_LLM_Design_Evaluation/Golden_Set_Labeling_SOP.md;docs/08_Testing_Quality/LLM_Evals_in_CI.md
W12-EP07-T070,EP07,Implement template renderer (YAML templates + brand constants) with safe placeholder handling,Backend,Backend,Automation,P0,V1,S3_Richpanel_Routing_LLM,3,W12-EP05-T051;W12-EP06-T061,docs/05_FAQ_Automation/templates/templates_v1.yaml;docs/05_FAQ_Automation/templates/brand_constants_v1.yaml;docs/05_FAQ_Automation/Template_Rendering_and_Variables.md
W12-EP07-T071,EP07,"Enforce template catalog: allowed template_ids, per-channel enablement, per-template feature flags",Backend,Backend,Automation,P0,V1,S3_Richpanel_Routing_LLM,3,W12-EP03-T034;W12-EP07-T070,docs/04_LLM_Design_Evaluation/Template_ID_Catalog.md;docs/05_FAQ_Automation/FAQ_Automation_Dedup_Rate_Limits.md
W12-EP07-T072,EP07,"Implement Tier 1 safe-assist automation playbooks (DNR, missing items intake, refunds intake) + routing tags",Backend,Backend,Automation,P0,V1,S4_Automation_Order_Security,5,W12-EP06-T061;W12-EP04-T043,docs/05_FAQ_Automation/Top_FAQs_Playbooks.md;docs/05_FAQ_Automation/Templates_Library_v1.md
W12-EP07-T073,EP07,Implement Tier 2 verified order status auto-reply (tracking link/number) with deterministic match + verifier approval,Backend/AI,Backend,Automation,P0,V1,S4_Automation_Order_Security,8,W12-EP06-T062;W12-EP05-T050;W12-EP07-T070,docs/05_FAQ_Automation/Order_Status_Automation.md;docs/04_LLM_Design_Evaluation/Decision_Pipeline_and_Gating.md
W12-EP07-T074,EP07,Enforce 'never auto-close' invariant across all automation paths,Backend,Backend,Automation,P0,V1,S4_Automation_Order_Security,2,W12-EP04-T043,docs/01_Product_Scope_Requirements/FAQ_Automation_Scope.md;docs/03_Richpanel_Integration/Automation_Rules_and_Config_Inventory.md
W12-EP07-T075,EP07,Create Richpanel 'AUTO:' macros aligned to template IDs (ops task) and document governance,Ops (Richpanel Admin),Ops,Automation,P1,V1,S5_Test_and_Rollout,2,W12-EP04-T040,docs/05_FAQ_Automation/Richpanel_AUTO_Macro_Pack_v1.md;docs/05_FAQ_Automation/Richpanel_AUTO_Macro_Setup_Checklist.md;docs/11_Governance_Continuous_Improvement/Procedures_Adding_Intents_Teams_Templates.md
W12-EP08-T080,EP08,Implement webhook authentication in ingress (header token preferred) + request schema validation,Backend/Infra,Infra/DevOps,SecurityObs,P0,V1,S4_Automation_Order_Security,5,W12-EP00-T004;W12-EP03-T030,docs/06_Security_Privacy_Compliance/Webhook_Auth_and_Request_Validation.md;docs/06_Security_Privacy_Compliance/Webhook_Secret_Rotation_Runbook.md
W12-EP08-T081,EP08,"Implement PII redaction enforcement + tests (logs, traces, eval artifacts)",Backend/SecOps,Backend,SecurityObs,P0,V1,S4_Automation_Order_Security,5,W12-EP03-T035,docs/06_Security_Privacy_Compliance/PII_Handling_and_Redaction.md;docs/08_Observability_Analytics/Event_Taxonomy_and_Log_Schema.md
W12-EP08-T082,EP08,Deploy dashboards + alarms (Wave 06/07/08 alignment) and validate alert runbooks,Infra/SecOps,Infra/DevOps,SecurityObs,P0,V1,S4_Automation_Order_Security,5,W12-EP02-T020;W12-EP03-T031;W12-EP03-T033,docs/06_Security_Privacy_Compliance/Security_Monitoring_Alarms_and_Dashboards.md;docs/08_Observability_Analytics/Dashboards_Alerts_and_Reports.md;docs/10_Operations_Runbooks_Training/Runbook_Index.md
W12-EP08-T083,EP08,"Harden public endpoint (API Gateway throttling, optional WAF, SSRF/egress controls)",Infra,Infra/DevOps,SecurityObs,P0,V1,S5_Test_and_Rollout,5,W12-EP03-T030,docs/06_Security_Privacy_Compliance/Network_Security_and_Egress_Controls.md;docs/07_Reliability_Scaling/Service_Quotas_and_Operational_Limits.md
W12-EP08-T084,EP08,Implement secret rotation support (multi-token validation) + document operational steps,Infra/SecOps,Infra/DevOps,SecurityObs,P1,V1,S5_Test_and_Rollout,3,W12-EP08-T080,docs/06_Security_Privacy_Compliance/Webhook_Secret_Rotation_Runbook.md;docs/06_Security_Privacy_Compliance/Secrets_and_Key_Management.md
W12-EP08-T085,EP08,Operationalize IAM access reviews and break-glass workflow (alerts + cadence),SecOps/Infra,Infra/DevOps,SecurityObs,P1,V1,S5_Test_and_Rollout,3,W12-EP01-T011,docs/06_Security_Privacy_Compliance/IAM_Access_Review_and_Break_Glass.md;docs/11_Governance_Continuous_Improvement/Governance_Audit_Checklist.md
W12-EP09-T090,EP09,Implement and run smoke test pack in staging (routing + Tier1 + Tier2 + Tier0 + kill switch),QA/Backend,Backend,QARelease,P0,V1,S5_Test_and_Rollout,3,W12-EP07-T073;W12-EP08-T080,docs/08_Testing_Quality/Smoke_Test_Pack_v1.md;docs/08_Testing_Quality/smoke_tests/smoke_test_cases_v1.csv
W12-EP09-T091,EP09,Run load/soak tests and validate backlog catch-up behavior without vendor storms,QA/Infra,Infra/DevOps,QARelease,P1,V1,S5_Test_and_Rollout,5,W12-EP03-T036;W12-EP08-T082,docs/07_Reliability_Scaling/Load_Testing_and_Soak_Test_Plan.md;docs/07_Reliability_Scaling/Backlog_Catchup_and_Replay_Strategy.md
W12-EP09-T092,EP09,Execute first production deploy runbook (routing-only) and verify observability + rollback,Release Manager/Infra,Infra/DevOps,QARelease,P0,V1,S5_Test_and_Rollout,3,W12-EP09-T090,docs/09_Deployment_Operations/First_Production_Deploy_Runbook.md;docs/09_Deployment_Operations/Go_No_Go_Checklist.md
W12-EP09-T093,EP09,"Progressive enablement: enable Tier 1 templates first, then Tier 2 order status after verification",Release Manager,Backend,QARelease,P0,V1,S5_Test_and_Rollout,3,W12-EP09-T092;W12-EP00-T003,docs/09_Deployment_Operations/Release_and_Rollback.md;docs/05_FAQ_Automation/Pre_Launch_Copy_and_Link_Checklist.md
W12-EP09-T094,EP09,"Establish post-launch governance cadence (weekly review, monthly calibration) and close the loop with agent feedback tags",Ops Lead,Ops,QARelease,P1,V1,S5_Test_and_Rollout,2,W12-EP09-T093,docs/11_Governance_Continuous_Improvement/Governance_Cadence_and_Ceremonies.md;docs/08_Observability_Analytics/EvalOps_Scheduling_and_Runbooks.md;docs/08_Observability_Analytics/Feedback_Signals_and_Agent_Override_Macros.md
