Name,Subject,Description,Tags,Assign,Priority,Update Field,Last Order,HTTP Target,Close,Available To - Brands,Available To - Agents,Created By
"SOCIAL MEDIA: DIFFUSERS: Battery Operated?","","Hello %First Name%
Thank you for reaching out! Our rechargeable diffusers include:
• Scent Diffuser Mini
• Diffuser Mini 2
• Diffuser Mini 2 LE
• Diffuser Air 2
• Car Diffuser

Please note that our other diffusers are designed for continuous use with an electric plug-in unit.

If you’d like, we can help you choose the best option based on your space or scenting preferences!

Best Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE: Shipping Delay: Partial Refund Last offer","","Hello ​​%First Name%​​

We sincerely apologize for the long wait. As we have communicated with you in our previous emails, we're looking to receive all stocks by (INSERT DATE PROVIDED BY WAREHOUSE) 

Rest assured that your order will start to be dispatched by this week. Your order will be shipped via 2-day express shipping, and a complimentary oil has been added to your order now. 

We understand how frustrating this situation has been for you, and as a gesture of goodwill, we are willing to offer a one-time partial refund of $20 / $40 on your order.

We sincerely hope you will allow us to fulfill your order and allow you to experience the delightful fragrances of our oils.

Thank you for your understanding and patience.

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","refund-partial-refund","","","","","","","All Brands","Everyone","System"
"PACKAGE PROTECTION: Protect+ Claim Instructions (Lost/Damaged/Stolen)","","Hi %First Name%,

We’re very sorry to hear about the issue with your order. We understand how frustrating this situation can be, and we sincerely apologize for the inconvenience it has caused.

Because you purchased Protect+ package protection with your order, your shipment is fully covered in situations such as loss, damage, or theft during transit. This added protection allows your concern to be resolved as quickly and smoothly as possible. To get started, please submit a claim directly through the Protect Plus portal using the link below:
File a Claim: http://orders.scentiment.com

Once submitted, the Protect Plus team will guide you through the process and work promptly to resolve your claim.
If you have any questions or need assistance at any point, please don’t hesitate to reach out and we’re always here to help.

Thank you for your patience and understanding.

Warm regards,%Agent First Name%Scentiment Customer Support Team","refund-package-protection","","","","","","","All Brands","Everyone","System"
"ORDERS: Invoice sent for New Remote","","Hello there,

Thank you for confirming. I have now sent over an invoice for payment on the new remote for your diffuser. Once that invoice is paid, the order will be placed with our warehouse for shipment.

Please let me know if you need any additional assistance!

Sincerely,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE: Card Charged, No Order Placed","","Hello, ​​%First Name%​​,

Thank you for reaching out about this!  We currently see that the payment for your order was not able to be successfully charged to your card, so the order was not created.  You may see the charge as pending on your card due to the payment request made by our system. However, that request was declined by your financial institution, so the charge should not post as final and instead fall off your statement.

If you do see this charge posted as final, please follow up with us so we can investigate further. Thank you!

Regards,

​​%Agent First Name%​​

Customer Support Team","refund-accidental-order","","","","","","","All Brands","Everyone","System"
"TROUBLESHOOTING: Flashing Yellow Light: Step 1","","Hi %First Name%,

Thanks for reaching out—and I’m really sorry to hear this has been such a bumpy experience so far. Let’s get this sorted quickly. The yellow flashing light typically indicates a “Low Oil Alert,” which means the diffuser senses the oil level is at or below 20%. But just to be sure, I have a couple of quick questions:
Did you use one of the 20ml sample bottles from your order?

How full is the bottle right now—is it close to empty or more than half full?

If you can also send a quick photo or video of the bottle inside the diffuser, that will help us rule out a sensor issue or anything unusual with the bottle fit.

Looking forward to your reply!
Sincerely,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDERS: Duplicate Charge","","Hello ​​%First Name%​​,

Thank you for reaching out about this!  We currently see that only one payment was successfully processed for your order, but do see your initial charge attempt was not able to be successfully charged to your card. You may see the charge as pending on your card due to the payment request made by our system. However, that request was declined by your financial institution, so the charge should not post as final and instead fall off your statement.

If you do see this charge posted as final, please follow up with us so we can investigate further. Thank you! 

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","refund-accidental-order","","","","","","","All Brands","Everyone","System"
"ORDERS: How to file a claim with Protect+","","Hello %First Name%,

Thank you for reaching out, and I'm sorry to hear about the issues with your order.
Upon reviewing your order, I see that you did opt for our protect plus, which was a great decision! In this situation, you can easily file a claim.

If your item was lost during transit, stolen, or marked as delivered but not received, you'll need to initiate a claim with the carrier. Once you have the claim number from the carrier, please contact us at support@scentiment.com to inform us and provide the claim number. This will enable us to follow up with the carrier. This will also enable us to either replace your order or issue a refund in the form of store credit, minus the shipping cost, addressing any shipping-related problems as mentioned earlier.

For damaged items, please ensure you take photos as you'll need to submit them to us.

Please remember that all package claims must be made within 5 business days from your delivery date.
File a claim here: http://orders.scentiment.com.

Thank you.Regards,%Agent First Name%Scentiment Customer Support","refund-package-protection","","","","","","","All Brands","Everyone","System"
"ORDERS: ID Verification Inquiry","","Hello ​​%First Name%​​,

Thank you for reaching out!  This is a standard security measure that we have implemented to protect our customers and prevent any fraudulent activities.

To ensure that the credit card used in the order belongs to you, we kindly ask that you provide the requested information to our ID verification program so we can proceed with your order. 

Thank you for your cooperation.

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"PACKAGE PROTECTION: Protect+ Not Purchased: One Time Exception","","Hello %First Name%,

Thank you for your patience while I worked on this for you, and again, so sorry to see it arrived damaged.
Unfortunately, Protect+ was not included in your order, but we can send you a replacement as a one-time courtesy.
In the future, though, please make sure to opt in for our Package Protection, which is automatically selected at checkout. This insurance covers your order if anything should happen in transit, such as damage or theft, as well as if your item happens to be defective. If you do not select it, we are unable to be responsible or assist if anything happens in transit or if the package is lost/stolen on delivery.

Thank you.Regards,%Agent First Name%Scentiment Customer Support","refund-package-protection","","","","","","","All Brands","Everyone","System"
"Return Request : Return Portal link","","Hello %First Name%,

We apologize for any inconvenience this has caused. We're happy to offer returns for a full refund up to 14 days from the date of delivery provided the unit is unused and original packaging is still intact. If you received a defective unit, we will send a replacement.

To proceed with the return procedure and generate a return label for your order, please click on the following link to access our Return & Exchange Portal: https://orders.scentiment.com/

Please follow the instructions on the portal to complete the return process. Please note that our warehouse inspects all returned items and may require 10-14 business days. Feel free to reach out after the 14th business day if you haven't received an update.

If you encounter any difficulties or have any questions, please reply to this email for further assistance.

Thank you for your understanding and cooperation.

Best regards,%Agent First Name%Scentiment Customer Service Team","","","","","","","","All Brands","Everyone","System"
"TROUBLESHOOTING: Video Review Update - Your diffuser is functioning as expected","","Dear %First Name%,
Thank you for sharing the video with us—we truly appreciate your patience while we carefully reviewed your footage.
Based on our assessment, we can confirm that the unit is functioning as expected and, therefore, does not qualify for a warranty replacement.

That said, we want to ensure you have the best possible experience with your diffuser! If you’re encountering any challenges with its operation, we’d be happy to answer any questions.
Please don’t hesitate to reach out—we’re here to help!

Sincerely,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDERS: Package Delivered","","Hello ​​%First Name%​​,

Thank you for reaching out! 

Your order tracking has now been updated to show your order as delivered. 

Order: ​%Order Name%​

Please see your order tracking here: ​%Order Tracking URL%​

This package was delivered to: ​%Order Shipping Address Line 1%​ ​%Order Shipping Address Line 2%​, ​%Order Shipping Postcode%​ ​%Order Shipping City%​ ​%Order Shipping State/Province%​

Please let me know if you need any additional assistance. I'm always happy to help! 

Best Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDERS: Refunds Processing Time","","Hello​​%First Name%​​,

Thank you for reaching out regarding your refund. Please note that refunds are processed within 24-72 business hours once reviewed and approved.

After processing, it may take an additional 3-7 business days for the funds to appear back on your payment method, depending on your financial institution.

We appreciate your patience and understanding. If you have any further questions, feel free to contact us.

Best regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDERS: RTS First Response","","Hello ​​%First Name%​​,

Thank you for reaching out! I'm so sorry to see your order has been marked as return to sender and is being shipped back to our warehouse.

We'd be happy to reship this order to you.

If you'd like a reshipment, can you confirm the complete shipping address?

Looking forward to hearing back! 

Best Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"PHONE SUPPORT ONLY: Ticket Escalation Case","Urgent: Your Concern is Under Review by Our Escalation Support Team","Hello ​​%First Name%​​,

Thank you for reaching out to us.

We understand your concern about (INSERT ISSUE) from your order ​%Order Name%​and want to assure you that it has been received. Your case is now being managed by our Escalation Support team and is under review. We are committed to providing a resolution as quickly as possible.

We appreciate your patience and will update you momentarily with further information.

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"PRODUCT INQUIRY : 20ml Sample Size Bottles","","Hello, ​​%First Name%​​,

Thank you for reaching out! 

The sample bottles will all be for 20ml each and will be poured directly into the machine to use. Full-sized bottles that will fit directly into the standard diffuser will be 50ml and 120ml. The mini will always need to have the oil poured into the diffuser, as we do not currently have bottles to fit that device.

I hope this helps. Please let me know if you need any additional assistance.

Best Regards,

​​%Agent First Name%​​

Customer Support Team","","","","","","","","All Brands","Everyone","System"
"PRODUCT INQUIRY : Cord/Cable Required","","Hello ​​%First Name%​​,

Thank you for reaching out! 

Our Scent Diffuser Mini, Diffuser Mini 2, Diffuser Mini 2 LE & Diffuser Air 2  are rechargeable, so they can be used without the power cord. However, all other diffusers do need to be plugged in for use. 

Let me know if you have any other questions. I'm always happy to help! 

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"PRODUCT INQUIRY : Product Availability","","Hello ​​%First Name%​​,

Thank you for your interest in Scentiment!  We are not made aware of product restocking dates unless it is listed on the website. 

Be sure to sign up for our emails to keep up to date on new releases and restocks. 

I would be more than happy to inquire about this product stock replenishment ETA and get back to you.

Please let us know if you need anything else! We appreciate you and are always happy to help!

Sincerely,

​​%Agent First Name%​​

Customer Support Team","","","","","","","","All Brands","Everyone","System"
"PRODUCT INQUIRY: Customer Feels Kit Is Misleading","","Hello ​​%First Name%​​,

Thank you for following up and for your feedback. We're so sorry you feel our product listing was misleading. We do show the product with oils, as those are added to the kit on the same ordering page. 

I'll certainly pass your feedback along to our marketing and web design team for review and consideration. We definitely want our site to be as transparent as possible and easy to understand, so this feedback is appreciated. 

In the meantime, please let me know if you need any additional assistance. Thank you! 

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"PRODUCT INQUIRY: How Long Do Bottles Last","","Hello, ​​%First Name%​​

On average, a 20 ml fragrance oil can last up to 30 days when used in a Scent Diffuser Mini, Diffuser Mini 2, or Diffuser Mini 2 LE at the recommended setting of 4 hours per day.

For larger units like the Scent Diffuser or Diffuser Air 2, a 120 ml bottle can last up to 30 days when used around 8 hours per day.

Please note that actual duration may vary depending on your chosen scent intensity, usage frequency, and fragrance concentration. 

Best Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"PRODUCT INQUIRY: Oil Stain on Wood","","Hi %First Name%

Thank you for reaching Scentiment Customer Support. I'm %Agent First Name%, and I would be glad to assist you today.

I'm truly sorry to hear about the oil stains caused by our scent diffusers. Removing oil stains from wood furniture can indeed be a bit challenging, but there are some friendly and effective workarounds you can try, most of which require ingredients commonly found in your kitchen:

1. Paper Towel Blotting:
If the oil stain is fresh, gently blot it with paper towels to absorb as much oil as possible. Avoid rubbing, as it might spread the stain further.

2. Baking Soda or Cornstarch:
Sprinkle either baking soda or cornstarch onto the stain, allowing it to sit for several hours or overnight. These powders can help soak up the oil. Afterwards, simply brush or vacuum away the powder.

3. Dishwashing Detergent:
Create a mild soapy solution by mixing a few drops of dishwashing detergent with water. Dampen a cloth with this solution and delicately blot the stain. Rinse the area with a clean, damp cloth and pat it dry.

4. Vinegar and Water:
Blend equal parts of white vinegar and water to create a vinegar-water mixture. Dampen a cloth with this solution and gently blot the stain. Finish by rinsing with a clean, damp cloth and patting it dry.

I hope one of these methods proves helpful in addressing the oil stains on your wood furniture. If you have any further questions or need additional assistance, please don't hesitate to reach out. We genuinely value your satisfaction and are here to help.

As always, feel free to reach out to us should you need further assistance.

All the best, %Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDERS: Order Ready To Be Placed Confusion","","Hello there,

Thank you for reaching out! No need to worry, the text message you received is a reminder that there are items in your cart for purchase. No purchase or order has been made as of yet. So sorry for the confusion! 

Let me know if you need any additional assistance! 

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"PRODUCT INQUIRY: Safe for Pets?","","Hello ​​%First Name%​​,

Thank you for reaching out. Great question! 

All of our are safe to use around people, pets, plants, and furniture. 100% free of all Parabens, Formaldehyde, Color Additives, Synthetic Dyes, and Preservatives.

Let me know if you have any other questions, I'm always happy to assist!

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"SALE: BOGO Anniversary sale","","Hello there,

Thank you for your interest! You can visit our site here: https://www.scentiment.com/ to take advantage our our sale. Discounts will be applied automatically. 

Please note - our BOGO sale is not applicable for diffuser kits or subscription items. 

Please see our Promo Terms and Conditions: https://www.scentiment.com/pages/promo-terms-conditions.

Please let me know if you need any additional assistance. I'm always happy to help! 

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","promotions-inquiry","","","","","","","All Brands","Everyone","System"
"(MANAGER ONLY) Outreach: Candle OOS","Your Scentiment Order - Item OOS","Hello %First Name%,
Thank you for your Scentiment order! Upon review, it looks like the XXXXX in your order is now out of stock. Is there another candle scent you'd like sent instead, or would you prefer we cancel that item from your order?
Looking forward to hearing back!","","","","","","","","All Brands","Everyone","System"
"SALE: BOGO was not applied because discount code was used","","Hello %First Name%,

Thank you for reaching out! Upon reviewing your order, we noticed a discount code applied at checkout. Unfortunately, the BOGO promotion is valid only when a full-price item is included in your cart.

For your reference, I've attached a copy of your order below. [INSERT SCREENSHOT OF ORDER WITH DISCOUNT AND TOTAL]

I hope this helps clarify things, but please don't hesitate to reach out if you have any further questions or concerns. We'd be happy to assist!

Warm regards,%Agent First Name%Scentiment Customer Support","promotions-inquiry","","","","","","","All Brands","Everyone","System"
"SALE: Clarification on Our BOGO Offer: Here's How It Works!","","Hi %First Name%,

Thank you for reaching out to us! We understand that you have some questions about our current Buy One, Get One Free (BOGO) offer, and we're here to make sure everything is as clear as possible so you can enjoy the benefits of this promotion. To take advantage of our BOGO offer, it's important to add at least two quantities of the item to your cart. By doing so, one of those items will automatically be set to free during the checkout process. The system needs to recognize that there are two of the same items in your cart so that it can apply the discount correctly.Here is a simple step-by-step guide to help:Choose the product you wish to purchase.Add two quantities of that product to your shopping cart.Once you proceed to checkout, you will see that one of the items is free as part of the promotion.Please note that the free item will not be reflected until both items are in your cart and you head to the checkout page. If you're not seeing the discount applied, it might be helpful to refresh your page or ensure that you're adding the same product twice or at least 2 items.We hope this clears things up! If you have any more questions or need any assistance while completing your order, don't hesitate to reach out and we're always happy to help.Thank you for being a valued part of our Scentiment community!

Best regards,%Agent First Name%Scentiment Customer Support Team","promotions-inquiry","","","","","","","All Brands","Everyone","System"
"RETENTION OFFER : Complimentary Oil Offer (Under $200)","","Hello, ​​%First Name%​​,

We're so sorry to hear you'd like to cancel! We'd love to keep you as a customer because we know you'll love your products once they are received. 

To keep your order, we'd like to offer you a free fragrance oil of your choice, a $20 value, OR we can offer store credit for $20, which can be used on a future order. 

Would that work for you? And if so, which option would you prefer? If you'd like the complimentary fragrance oil, which scent would you like shipped to you?

Looking forward to hearing back! 

Sincerely,

​​%Agent First Name%​​

Scentiment Customer Support Team","","","","","","","","All Brands","Everyone","System"
"SNOWBALL : Payout Commission","","Hello %First Name%,

Thank you for reaching out and for your continued support! For any inquiries or follow-ups regarding your payout commission, please contact Abigail Paat at Abigail.paat@scentiment.com. She will be happy to assist you with any updates or clarifications you may need.

Please let us know if there is anything else we can assist you with.

Looking forward to your response.

Best Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"Troubleshooting: Standard Diffuser V1: No power/ Not turning on","","Hello %First Name%,

We apologize for the inconvenience you are experiencing with your diffuser. Please follow the troubleshooting steps to resolve this issue.

If the issue is not resolved, your diffuser is under warranty, and you’ve already completed the troubleshooting steps and submitted your video, we’ll provide you with a link to initiate your warranty replacement.

If you have any further questions, don’t hesitate to reply—we’re happy to help! You can also visit our Help Center for additional support.

Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"TROUBLESHOOTING: Video Review Update - Next Steps for Your Diffuser Replacement","","Dear %First Name%,

Thank you for sharing the video with us—we truly appreciate your patience as we assess the issue. After reviewing it, we can confirm that your diffuser is experiencing a problem, and we’d like to take a closer look to provide the best resolution for you.
To proceed, please return the diffuser to us for a thorough inspection by our technicians. You can initiate your replacement by clicking on this link.
Once your RMA is created, you will have 14 days to return your unit. If the return is not received within this timeframe, the RMA will be automatically canceled and will no longer be valid.

If we’re unable to repair the unit within the expected turnaround time of 10 to 14 business days, we will send you a replacement to ensure you can continue enjoying your diffuser without delay.

If you need any assistance with the return process, please don’t hesitate to reach out—we’re happy to help!
Best regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"GENERIC: Scentiment Contact Information: We are here to Help!","","Hello %First Name%,

At Scentiment, we believe that every step of your scenting journey should be delightful and stress-free. If you have questions, concerns, or just need a little guidance, we’ve got a support team that’s ready to sprinkle a bit of magic your way. Here’s how you can get in touch with us:

1. Contact Us via Email Have a burning question or feedback to share? Shoot us an email at Support@Scentiment.com. We’ll respond as quickly as we can because your satisfaction is our top priority. Promise, no ghosting here!

2. Chat with Us Live Sometimes, you just need instant answers. That’s why our friendly customer support agents are ready to chat during business hours. Simply click the ""Chat with Us"" button on our website and let’s solve your queries together in real-time.
Business Hours: Monday - Friday: 9:00 AM - 5:00 PM EST Weekends: Time to relax (but we’ll get back to you first thing Monday!)

3. Give Us a Ring Prefer to talk it out? Our dedicated support team is just a phone call away. Whether it’s about your latest scent obsession or troubleshooting, we’re here to make it right.
Customer Support Hotline: +1 323 310 1000 Available Hours: Monday - Friday, 9:00 AM - 5:00 PM EST

4. Still Have Questions? Please see our Help Center. The answer to your inquiry may be there as well.

5. Experiencing an issue with your diffuser?
Please see our troubleshooting steps to help resolve your issue

At Scentiment, we’re not just about amazing scents; we’re about amazing support too. Don’t hesitate to reach out — we can’t wait to assist you on your scent-filled adventure!

Best Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE : Cancel/Refund -Order put on hold","","Hello ​​%First Name%​​,

We truly appreciate your support for our products. :)

We're sorry to hear that you no longer want to continue with your order, care to share your thoughts as to why, or do you have any issues at all? We can probably address that. 

I see that your order has been processed but let me see if we can still intercept the shipment, I'll get back to you within 24 hours. 

But hopefully, we can change your mind if we can offer you a complimentary 20ml fragrance oil should you agree to proceed with your order. Please let me know your thoughts.

As always, please do not hesitate to contact us should you require further assistance. Have a good day!

Thank you! 

​​%Agent First Name%​​

Scentiment Customer Support","order-cancellation-request","","","","","","","All Brands","Everyone","System"
"CUSTOMER RETENTION: Upgraded Shipping + Store Credit","","Hello ​​%First Name%​​,

Thank you for following up!

You're all set. I have arranged for your order to ship out via 2-day express and emailed your store credit of $XXXX to ​%Customer Email%​.

Let me know if you need any additional assistance, I'm always happy to help!","","","","","","","","All Brands","Everyone","System"
"ORDERS: Cannot Split Ship Order","","Hello ​​%First Name%​​,

Thank you for reaching out! 

Unfortunately, we are only able to ship an order to one address. For items that need to be sent to different addresses, we kindly ask that you place different orders so we can accommodate that for you. 

Please let me know if you need any additional assistance. Thank you! 

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDERS: Complimentary Oil Offer: Order Placed","","Hello ​​%First Name%​​,

Thank you for following up! 

No problem. I went ahead and arranged a new order for the complimentary fragrance oil. You should receive an email shortly with the new order details, and another with tracking when that order ships. 

Please let me know if you need any additional assistance. Thank you! 

Best Regards,

​​%Agent First Name%​​","","","","","","","","All Brands","Everyone","System"
"ORDERS: Contact Warehouse: Tracking Not Updated","","Hello ​​%First Name%​​,

Thank you for reaching out! We're so sorry to see there has not been a recent update made to your package tracking. I have sent a message to our warehouse team for some additional information/update on the status of this order. I will follow up as soon as I hear back.

Thank you so much, and we do apologize for the delay and inconvenience. 

Sincerely,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"SOCIAL MEDIA: Discount Code Request","","Please use the code SCENT15 for 15% off your purchase with us. This will be valid for any one-time purchase only. Subscription items are not eligible. 

Regards,

Scentiment Customer Support","promotions-inquiry","","","","","","","All Brands","Everyone","System"
"[ADMIN ONLY]: Dispute Resolution","We’re Committed to Resolving This for You!","Dear %First Name%

We hope this message finds you well. We are reaching out to acknowledge your concern and to assure you that we are here to help resolve it as quickly and efficiently as possible.

At Scentiment, we deeply value our customers and understand how frustrating it can be when things don't go as planned. While the standard timeline for dispute resolutions can take up to 120 business days to complete, we want to make every effort to resolve this issue for you sooner. Your satisfaction is our priority, and we're committed to finding a solution that works for you.

To help expedite the process, we'd like to propose a resolution. If you decide to move forward with our offered solution, we can [INSERT RESOLUTION] right away. Additionally, as a gesture of our appreciation for your understanding, we'd be happy to include [INSERT RESOLUTION] to make up for the inconvenience.

We hope this approach meets your expectations and brings a satisfactory resolution to the matter. Please let us know how you'd like to proceed, or if there's anything else we can do to make things right. You can simply reply to this email, and we'll take it from there.

Thank you for allowing us to address your concerns and for being a valued member of the Scentiment family. We're here for you every step of the way and look forward to resolving this matter to your satisfaction.

Warm regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"SUBSCRIPTION: Cancel Subscription Request (Already Cancelled Prior to Reach Out)","","Hi %First Name%,

Thank you so much for reaching out.
I can confirm the subscription under the email address %Customer Email% has already been canceled, and no additional orders will be placed on your behalf.

Let me know if you need any additional assistance. I'm always happy to help. You can also access our Scentiment Help Center if you need additional assistance.

Sincerely,%Agent First Name%  Scentiment Customer Support","refund-subscription-order","","","","","","","All Brands","Everyone","System"
"SUBSCRIPTION: How to Manage Subscription","","Hi %First Name%,

Thank you for reaching out! I am happy to help with this.

To manage your subscription, all you need to do is click on the link below, and from there you can access your subscription and cancel or make any changes.

Manage  Subscription

Let me know if you need any additional assistance. Thank you!","refund-subscription-order","","","","","","","All Brands","Everyone","System"
